Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,1000,0,0,0,0,0,0,0
1000,1000,0,5e-07,0,0,12513,0,12513
2000,1000,0,1e-06,0,0,0,0,12513
3000,1000,0,1.5e-06,0,0,0,0,12513
4000,1000,0,2e-06,0,0,0,0,12513
5000,1000,0,2.5e-06,0,0,0,0,12513
6000,1000,0,3e-06,0,0,0,0,12513
7000,1000,0,3.5e-06,0,0,0,0,12513
8000,1000,0,4e-06,0,0,0,0,12513
9000,1000,0,4.5e-06,0,0,0,0,12513
10000,1000,0,5e-06,0,0,0,0,12513
11000,1000,0,5.5e-06,0,0,0,0,12513
12000,1000,0,6e-06,0,0,0,0,12513
13000,1000,0,6.5e-06,0,0,0,0,12513
14000,1000,0,7e-06,0,0,0,0,12513
15000,1000,0,7.5e-06,0,0,0,0,12513
16000,1000,0,8e-06,0,0,0,0,12513
17000,1000,0,8.5e-06,0,0,0,0,12513
18000,1000,0,9e-06,0,0,0,0,12513
19000,1000,0,9.5e-06,0,0,0,0,12513
20000,1000,0,1e-05,0,0,0,0,12513
21000,1000,0,1.05e-05,0,0,0,0,12513
22000,1000,0,1.1e-05,0,0,0,0,12513
23000,1000,0,1.15e-05,0,0,0,0,12513
24000,1000,0,1.2e-05,0,0,0,0,12513
25000,1000,0,1.25e-05,0,0,0,0,12513
26000,1000,0,1.3e-05,0,0,0,0,12513
27000,1000,0,1.35e-05,0,0,0,0,12513
28000,1000,0,1.4e-05,0,0,0,0,12513
29000,1000,0,1.45e-05,0,0,0,0,12513
30000,1000,0,1.5e-05,0,0,0,0,12513
31000,1000,0,1.55e-05,0,0,0,0,12513
32000,1000,0,1.6e-05,0,0,0,0,12513
33000,1000,0,1.65e-05,0,0,0,0,12513
34000,1000,0,1.7e-05,0,0,0,0,12513
35000,1000,0,1.75e-05,0,0,0,0,12513
36000,1000,0,1.8e-05,0,0,0,0,12513
37000,1000,0,1.85e-05,0,0,0,0,12513
38000,1000,0,1.9e-05,0,0,0,0,12513
39000,1000,0,1.95e-05,0,0,0,0,12513
40000,1000,0,2e-05,0,0,0,0,12513
41000,1000,0,2.05e-05,0,0,0,0,12513
42000,1000,0,2.1e-05,0,0,0,0,12513
43000,1000,0,2.15e-05,0,0,0,0,12513
44000,1000,0,2.2e-05,0,0,0,0,12513
45000,1000,0,2.25e-05,0,0,0,0,12513
46000,1000,0,2.3e-05,0,0,0,0,12513
47000,1000,0,2.35e-05,0,0,0,0,12513
48000,1000,0,2.4e-05,0,0,0,0,12513
49000,1000,0,2.45e-05,0,0,0,0,12513
50000,1000,0,2.5e-05,0,0,0,0,12513
51000,1000,0,2.55e-05,0,0,0,0,12513
52000,1000,0,2.6e-05,0,0,0,0,12513
53000,1000,0,2.65e-05,0,0,0,0,12513
54000,1000,0,2.7e-05,0,0,0,0,12513
55000,1000,0,2.75e-05,0,0,0,0,12513
56000,1000,0,2.8e-05,0,0,0,0,12513
57000,1000,0,2.85e-05,0,0,0,0,12513
58000,1000,0,2.9e-05,0,0,0,0,12513
59000,1000,0,2.95e-05,0,0,0,0,12513
60000,1000,0,3e-05,0,0,0,0,12513
61000,1000,0,3.05e-05,0,0,0,0,12513
62000,1000,0,3.1e-05,0,0,0,0,12513
63000,1000,0,3.15e-05,0,0,0,0,12513
64000,1000,0,3.2e-05,0,0,0,0,12513
65000,1000,0,3.25e-05,0,0,0,0,12513
66000,1000,0,3.3e-05,0,0,0,0,12513
67000,1000,0,3.35e-05,0,0,0,0,12513
68000,1000,0,3.4e-05,0,0,0,0,12513
69000,1000,0,3.45e-05,0,0,0,0,12513
70000,1000,0,3.5e-05,0,0,0,0,12513
71000,1000,0,3.55e-05,0,0,0,0,12513
72000,1000,0,3.6e-05,0,0,0,0,12513
73000,1000,0,3.65e-05,0,0,0,0,12513
74000,1000,0,3.7e-05,0,0,0,0,12513
75000,1000,0,3.75e-05,0,0,0,0,12513
76000,1000,0,3.8e-05,0,0,0,0,12513
77000,1000,0,3.85e-05,0,0,0,0,12513
78000,1000,0,3.9e-05,0,0,0,0,12513
79000,1000,0,3.95e-05,0,0,0,0,12513
80000,1000,0,4e-05,0,0,0,0,12513
81000,1000,0,4.05e-05,0,0,0,0,12513
82000,1000,0,4.1e-05,0,0,0,0,12513
83000,1000,0,4.15e-05,0,0,0,0,12513
84000,1000,0,4.2e-05,0,0,0,0,12513
85000,1000,0,4.25e-05,0,0,0,0,12513
86000,1000,0,4.3e-05,0,0,0,0,12513
87000,1000,0,4.35e-05,0,0,0,0,12513
88000,1000,0,4.4e-05,0,0,0,0,12513
89000,1000,0,4.45e-05,0,0,0,0,12513
90000,1000,0,4.5e-05,0,0,0,0,12513
91000,1000,0,4.55e-05,0,0,0,0,12513
92000,1000,0,4.6e-05,0,0,0,0,12513
93000,1000,0,4.65e-05,0,0,0,0,12513
94000,1000,0,4.7e-05,0,0,0,0,12513
95000,1000,0,4.75e-05,0,0,0,0,12513
96000,1000,0,4.8e-05,0,0,0,0,12513
97000,1000,0,4.85e-05,0,0,0,0,12513
98000,1000,0,4.9e-05,0,0,0,0,12513
99000,1000,0,4.95e-05,0,0,0,0,12513
100000,1000,0,5e-05,0,0,0,0,12513
101000,1000,0,5.05e-05,0,0,0,0,12513
102000,1000,0,5.1e-05,0,0,0,0,12513
103000,1000,0,5.15e-05,0,0,0,0,12513
104000,1000,0,5.2e-05,0,0,0,0,12513
105000,1000,0,5.25e-05,0,0,0,0,12513
106000,1000,0,5.3e-05,0,0,0,0,12513
107000,1000,0,5.35e-05,0,0,0,0,12513
108000,1000,0,5.4e-05,0,0,0,0,12513
109000,1000,0,5.45e-05,0,0,0,0,12513
110000,1000,0,5.5e-05,0,0,0,0,12513
111000,1000,0,5.55e-05,0,0,0,0,12513
112000,1000,0,5.6e-05,0,0,0,0,12513
113000,1000,0,5.65e-05,0,0,0,0,12513
114000,1000,0,5.7e-05,0,0,0,0,12513
115000,1000,0,5.75e-05,0,0,0,0,12513
116000,1000,0,5.8e-05,0,0,0,0,12513
117000,1000,0,5.85e-05,0,0,0,0,12513
118000,1000,0,5.9e-05,0,0,0,0,12513
119000,1000,0,5.95e-05,0,0,0,0,12513
120000,1000,0,6e-05,0,0,0,0,12513
121000,1000,0,6.05e-05,0,0,0,0,12513
122000,1000,0,6.1e-05,0,0,0,0,12513
123000,1000,0,6.15e-05,0,0,0,0,12513
124000,1000,0,6.2e-05,0,0,0,0,12513
125000,1000,0,6.25e-05,0,0,0,0,12513
126000,1000,0,6.3e-05,0,0,0,0,12513
127000,1000,0,6.35e-05,0,0,0,0,12513
128000,1000,0,6.4e-05,0,0,0,0,12513
129000,1000,0,6.45e-05,0,0,0,0,12513
130000,1000,0,6.5e-05,0,0,0,0,12513
131000,1000,0,6.55e-05,0,0,0,0,12513
132000,1000,0,6.6e-05,0,0,0,0,12513
133000,1000,0,6.65e-05,0,0,0,0,12513
134000,1000,0,6.7e-05,0,0,0,0,12513
135000,1000,0,6.75e-05,0,0,0,0,12513
136000,1000,0,6.8e-05,0,0,0,0,12513
137000,1000,0,6.85e-05,0,0,0,0,12513
138000,1000,0,6.9e-05,0,0,0,0,12513
139000,1000,0,6.95e-05,0,0,0,0,12513
140000,1000,0,7e-05,0,0,0,0,12513
141000,1000,0,7.05e-05,0,0,0,0,12513
142000,1000,0,7.1e-05,0,0,0,0,12513
143000,1000,0,7.15e-05,0,0,0,0,12513
144000,1000,0,7.2e-05,0,0,0,0,12513
145000,1000,0,7.25e-05,0,0,0,0,12513
146000,1000,0,7.3e-05,0,0,0,0,12513
147000,1000,0,7.35e-05,0,0,0,0,12513
148000,1000,0,7.4e-05,0,0,0,0,12513
149000,1000,0,7.45e-05,0,0,0,0,12513
150000,1000,0,7.5e-05,0,0,0,0,12513
151000,1000,0,7.55e-05,0,0,0,0,12513
152000,1000,0,7.6e-05,0,0,0,0,12513
153000,1000,0,7.65e-05,0,0,0,0,12513
154000,1000,0,7.7e-05,0,0,0,0,12513
155000,1000,0,7.75e-05,0,0,0,0,12513
156000,1000,0,7.8e-05,0,0,0,0,12513
