Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,5e-07,0,0,5839,0,5839
2000,500,0,1e-06,0,0,0,0,5839
3000,500,0,1.5e-06,0,0,0,0,5839
4000,500,0,2e-06,0,0,0,0,5839
5000,500,0,2.5e-06,0,0,0,0,5839
6000,500,0,3e-06,0,0,0,0,5839
7000,500,0,3.5e-06,0,0,0,0,5839
8000,500,0,4e-06,0,0,0,0,5839
9000,500,0,4.5e-06,0,0,0,0,5839
10000,500,0,5e-06,0,0,0,0,5839
11000,500,0,5.5e-06,0,0,0,0,5839
12000,500,0,6e-06,0,0,0,0,5839
13000,500,0,6.5e-06,0,0,0,0,5839
14000,500,0,7e-06,0,0,0,0,5839
15000,500,0,7.5e-06,0,0,0,0,5839
16000,500,0,8e-06,0,0,0,0,5839
17000,500,0,8.5e-06,0,0,0,0,5839
18000,500,0,9e-06,0,0,0,0,5839
19000,500,0,9.5e-06,0,0,0,0,5839
20000,500,0,1e-05,0,0,0,0,5839
21000,500,0,1.05e-05,0,0,0,0,5839
22000,500,0,1.1e-05,0,0,0,0,5839
23000,500,0,1.15e-05,0,0,0,0,5839
24000,500,0,1.2e-05,0,0,0,0,5839
25000,500,0,1.25e-05,0,0,0,0,5839
26000,500,0,1.3e-05,0,0,0,0,5839
27000,500,0,1.35e-05,0,0,0,0,5839
28000,500,0,1.4e-05,0,0,0,0,5839
29000,500,0,1.45e-05,0,0,0,0,5839
30000,500,0,1.5e-05,0,0,0,0,5839
31000,500,0,1.55e-05,0,0,0,0,5839
32000,500,0,1.6e-05,0,0,0,0,5839
33000,500,0,1.65e-05,0,0,0,0,5839
34000,500,0,1.7e-05,0,0,0,0,5839
35000,500,0,1.75e-05,0,0,0,0,5839
36000,500,0,1.8e-05,0,0,0,0,5839
37000,500,0,1.85e-05,0,0,0,0,5839
38000,500,0,1.9e-05,0,0,0,0,5839
39000,500,0,1.95e-05,0,0,0,0,5839
40000,500,0,2e-05,0,0,0,0,5839
41000,500,0,2.05e-05,0,0,0,0,5839
42000,500,0,2.1e-05,0,0,0,0,5839
43000,500,0,2.15e-05,0,0,0,0,5839
44000,500,0,2.2e-05,0,0,0,0,5839
45000,500,0,2.25e-05,0,0,0,0,5839
46000,500,0,2.3e-05,0,0,0,0,5839
47000,500,0,2.35e-05,0,0,0,0,5839
48000,500,0,2.4e-05,0,0,0,0,5839
49000,500,0,2.45e-05,0,0,0,0,5839
50000,500,0,2.5e-05,0,0,0,0,5839
51000,500,0,2.55e-05,0,0,0,0,5839
52000,500,0,2.6e-05,0,0,0,0,5839
53000,500,0,2.65e-05,0,0,0,0,5839
54000,500,0,2.7e-05,0,0,0,0,5839
55000,500,0,2.75e-05,0,0,0,0,5839
56000,500,0,2.8e-05,0,0,0,0,5839
57000,500,0,2.85e-05,0,0,0,0,5839
58000,500,0,2.9e-05,0,0,0,0,5839
59000,500,0,2.95e-05,0,0,0,0,5839
60000,500,0,3e-05,0,0,0,0,5839
61000,500,0,3.05e-05,0,0,0,0,5839
62000,500,0,3.1e-05,0,0,0,0,5839
63000,500,0,3.15e-05,0,0,0,0,5839
64000,500,0,3.2e-05,0,0,0,0,5839
65000,500,0,3.25e-05,0,0,0,0,5839
66000,500,0,3.3e-05,0,0,0,0,5839
67000,500,0,3.35e-05,0,0,0,0,5839
68000,500,0,3.4e-05,0,0,0,0,5839
69000,500,0,3.45e-05,0,0,0,0,5839
70000,500,0,3.5e-05,0,0,0,0,5839
71000,500,0,3.55e-05,0,0,0,0,5839
72000,500,0,3.6e-05,0,0,0,0,5839
73000,500,0,3.65e-05,0,0,0,0,5839
74000,500,0,3.7e-05,0,0,0,0,5839
75000,500,0,3.75e-05,0,0,0,0,5839
76000,500,0,3.8e-05,0,0,0,0,5839
77000,500,0,3.85e-05,0,0,0,0,5839
78000,500,0,3.9e-05,0,0,0,0,5839
79000,500,0,3.95e-05,0,0,0,0,5839
80000,500,0,4e-05,0,0,0,0,5839
81000,500,0,4.05e-05,0,0,0,0,5839
82000,500,0,4.1e-05,0,0,0,0,5839
83000,500,0,4.15e-05,0,0,0,0,5839
84000,500,0,4.2e-05,0,0,0,0,5839
85000,500,0,4.25e-05,0,0,0,0,5839
86000,500,0,4.3e-05,0,0,0,0,5839
87000,500,0,4.35e-05,0,0,0,0,5839
88000,500,0,4.4e-05,0,0,0,0,5839
89000,500,0,4.45e-05,0,0,0,0,5839
90000,500,0,4.5e-05,0,0,0,0,5839
91000,500,0,4.55e-05,0,0,0,0,5839
92000,500,0,4.6e-05,0,0,0,0,5839
93000,500,0,4.65e-05,0,0,0,0,5839
94000,500,0,4.7e-05,0,0,0,0,5839
95000,500,0,4.75e-05,0,0,0,0,5839
96000,500,0,4.8e-05,0,0,0,0,5839
97000,500,0,4.85e-05,0,0,0,0,5839
98000,500,0,4.9e-05,0,0,0,0,5839
99000,500,0,4.95e-05,0,0,0,0,5839
100000,500,0,5e-05,0,0,0,0,5839
101000,500,0,5.05e-05,0,0,0,0,5839
102000,500,0,5.1e-05,0,0,0,0,5839
103000,500,0,5.15e-05,0,0,0,0,5839
104000,500,0,5.2e-05,0,0,0,0,5839
105000,500,0,5.25e-05,0,0,0,0,5839
106000,500,0,5.3e-05,0,0,0,0,5839
107000,500,0,5.35e-05,0,0,0,0,5839
108000,500,0,5.4e-05,0,0,0,0,5839
109000,500,0,5.45e-05,0,0,0,0,5839
110000,500,0,5.5e-05,0,0,0,0,5839
111000,500,0,5.55e-05,0,0,0,0,5839
112000,500,0,5.6e-05,0,0,0,0,5839
113000,500,0,5.65e-05,0,0,0,0,5839
114000,500,0,5.7e-05,0,0,0,0,5839
115000,500,0,5.75e-05,0,0,0,0,5839
116000,500,0,5.8e-05,0,0,0,0,5839
117000,500,0,5.85e-05,0,0,0,0,5839
118000,500,0,5.9e-05,0,0,0,0,5839
119000,500,0,5.95e-05,0,0,0,0,5839
120000,500,0,6e-05,0,0,0,0,5839
121000,500,0,6.05e-05,0,0,0,0,5839
122000,500,0,6.1e-05,0,0,0,0,5839
