Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,6000,0,0,0,0,0,0,0
1000,6000,0,5e-06,0,0,80676,0,80676
2000,6000,0,1e-05,0,0,0,0,80676
3000,6000,0,1.5e-05,0,0,0,0,80676
4000,6000,0,2e-05,0,0,0,0,80676
5000,6000,0,2.5e-05,0,0,0,0,80676
6000,6000,0,3e-05,0,0,0,0,80676
7000,6000,0,3.5e-05,0,0,0,0,80676
8000,6000,0,4e-05,0,0,0,0,80676
9000,6000,0,4.5e-05,0,0,0,0,80676
10000,6000,0,5e-05,0,0,0,0,80676
11000,6000,0,5.5e-05,0,0,0,0,80676
12000,6000,0,6e-05,0,0,0,0,80676
13000,6000,0,6.5e-05,0,0,0,0,80676
14000,6000,0,7e-05,0,0,0,0,80676
15000,6000,0,7.5e-05,0,0,0,0,80676
16000,6000,0,8e-05,0,0,0,0,80676
17000,6000,0,8.5e-05,0,0,0,0,80676
18000,6000,0,9e-05,0,0,0,0,80676
19000,6000,0,9.5e-05,0,0,0,0,80676
20000,6000,0,0.0001,0,0,0,0,80676
21000,6000,0,0.000105,0,0,0,0,80676
22000,6000,0,0.00011,0,0,0,0,80676
23000,6000,0,0.000115,0,0,0,0,80676
24000,6000,0,0.00012,0,0,0,0,80676
25000,6000,0,0.000125,0,0,0,0,80676
26000,6000,0,0.00013,0,0,0,0,80676
27000,6000,0,0.000135,0,0,0,0,80676
28000,6000,0,0.00014,0,0,0,0,80676
29000,6000,0,0.000145,0,0,0,0,80676
30000,6000,0,0.00015,0,0,0,0,80676
31000,6000,0,0.000155,0,0,0,0,80676
32000,6000,0,0.00016,0,0,0,0,80676
33000,6000,0,0.000165,0,0,0,0,80676
34000,6000,0,0.00017,0,0,0,0,80676
35000,6000,0,0.000175,0,0,0,0,80676
36000,6000,0,0.00018,0,0,0,0,80676
37000,6000,0,0.000185,0,0,0,0,80676
38000,6000,0,0.00019,0,0,0,0,80676
39000,6000,0,0.000195,0,0,0,0,80676
40000,6000,0,0.0002,0,0,0,0,80676
41000,6000,0,0.000205,0,0,0,0,80676
42000,6000,0,0.00021,0,0,0,0,80676
43000,6000,0,0.000215,0,0,0,0,80676
44000,6000,0,0.00022,0,0,0,0,80676
45000,6000,0,0.000225,0,0,0,0,80676
46000,6000,0,0.00023,0,0,0,0,80676
47000,6000,0,0.000235,0,0,0,0,80676
48000,6000,0,0.00024,0,0,0,0,80676
49000,6000,0,0.000245,0,0,0,0,80676
50000,6000,0,0.00025,0,0,0,0,80676
51000,6000,0,0.000255,0,0,0,0,80676
52000,6000,0,0.00026,0,0,0,0,80676
53000,6000,0,0.000265,0,0,0,0,80676
54000,6000,0,0.00027,0,0,0,0,80676
55000,6000,0,0.000275,0,0,0,0,80676
56000,6000,0,0.00028,0,0,0,0,80676
57000,6000,0,0.000285,0,0,0,0,80676
58000,6000,0,0.00029,0,0,0,0,80676
59000,6000,0,0.000295,0,0,0,0,80676
60000,6000,0,0.0003,0,0,0,0,80676
