Step,Atoms,KinEng,top_disp,top_forc,bottom_f,bond_cre,bond_bro,bond_int
0,500,0,0,0,0,0,0,0
1000,500,0,5e-07,0,0,5959,0,5959
2000,500,0,1e-06,0,0,0,0,5959
3000,500,0,1.5e-06,0,0,0,0,5959
4000,500,0,2e-06,0,0,0,0,5959
5000,500,0,2.5e-06,0,0,0,0,5959
6000,500,0,3e-06,0,0,0,0,5959
7000,500,0,3.5e-06,0,0,0,0,5959
8000,500,0,4e-06,0,0,0,0,5959
9000,500,0,4.5e-06,0,0,0,0,5959
10000,500,0,5e-06,0,0,0,0,5959
11000,500,0,5.5e-06,0,0,0,0,5959
12000,500,0,6e-06,0,0,0,0,5959
13000,500,0,6.5e-06,0,0,0,0,5959
14000,500,0,7e-06,0,0,0,0,5959
15000,500,0,7.5e-06,0,0,0,0,5959
16000,500,0,8e-06,0,0,0,0,5959
17000,500,0,8.5e-06,0,0,0,0,5959
18000,500,0,9e-06,0,0,0,0,5959
19000,500,0,9.5e-06,0,0,0,0,5959
20000,500,0,1e-05,0,0,0,0,5959
21000,500,0,1.05e-05,0,0,0,0,5959
22000,500,0,1.1e-05,0,0,0,0,5959
23000,500,0,1.15e-05,0,0,0,0,5959
24000,500,0,1.2e-05,0,0,0,0,5959
25000,500,0,1.25e-05,0,0,0,0,5959
26000,500,0,1.3e-05,0,0,0,0,5959
27000,500,0,1.35e-05,0,0,0,0,5959
28000,500,0,1.4e-05,0,0,0,0,5959
29000,500,0,1.45e-05,0,0,0,0,5959
30000,500,0,1.5e-05,0,0,0,0,5959
31000,500,0,1.55e-05,0,0,0,0,5959
32000,500,0,1.6e-05,0,0,0,0,5959
33000,500,0,1.65e-05,0,0,0,0,5959
34000,500,0,1.7e-05,0,0,0,0,5959
35000,500,0,1.75e-05,0,0,0,0,5959
36000,500,0,1.8e-05,0,0,0,0,5959
37000,500,0,1.85e-05,0,0,0,0,5959
38000,500,0,1.9e-05,0,0,0,0,5959
39000,500,0,1.95e-05,0,0,0,0,5959
40000,500,0,2e-05,0,0,0,0,5959
41000,500,0,2.05e-05,0,0,0,0,5959
42000,500,0,2.1e-05,0,0,0,0,5959
43000,500,0,2.15e-05,0,0,0,0,5959
44000,500,0,2.2e-05,0,0,0,0,5959
45000,500,0,2.25e-05,0,0,0,0,5959
46000,500,0,2.3e-05,0,0,0,0,5959
47000,500,0,2.35e-05,0,0,0,0,5959
48000,500,0,2.4e-05,0,0,0,0,5959
49000,500,0,2.45e-05,0,0,0,0,5959
50000,500,0,2.5e-05,0,0,0,0,5959
51000,500,0,2.55e-05,0,0,0,0,5959
52000,500,0,2.6e-05,0,0,0,0,5959
53000,500,0,2.65e-05,0,0,0,0,5959
54000,500,0,2.7e-05,0,0,0,0,5959
55000,500,0,2.75e-05,0,0,0,0,5959
56000,500,0,2.8e-05,0,0,0,0,5959
57000,500,0,2.85e-05,0,0,0,0,5959
58000,500,0,2.9e-05,0,0,0,0,5959
59000,500,0,2.95e-05,0,0,0,0,5959
60000,500,0,3e-05,0,0,0,0,5959
61000,500,0,3.05e-05,0,0,0,0,5959
62000,500,0,3.1e-05,0,0,0,0,5959
63000,500,0,3.15e-05,0,0,0,0,5959
64000,500,0,3.2e-05,0,0,0,0,5959
65000,500,0,3.25e-05,0,0,0,0,5959
66000,500,0,3.3e-05,0,0,0,0,5959
67000,500,0,3.35e-05,0,0,0,0,5959
68000,500,0,3.4e-05,0,0,0,0,5959
69000,500,0,3.45e-05,0,0,0,0,5959
70000,500,0,3.5e-05,0,0,0,0,5959
71000,500,0,3.55e-05,0,0,0,0,5959
72000,500,0,3.6e-05,0,0,0,0,5959
73000,500,0,3.65e-05,0,0,0,0,5959
74000,500,0,3.7e-05,0,0,0,0,5959
75000,500,0,3.75e-05,0,0,0,0,5959
76000,500,0,3.8e-05,0,0,0,0,5959
77000,500,0,3.85e-05,0,0,0,0,5959
78000,500,0,3.9e-05,0,0,0,0,5959
79000,500,0,3.95e-05,0,0,0,0,5959
80000,500,0,4e-05,0,0,0,0,5959
81000,500,0,4.05e-05,0,0,0,0,5959
82000,500,0,4.1e-05,0,0,0,0,5959
83000,500,0,4.15e-05,0,0,0,0,5959
84000,500,0,4.2e-05,0,0,0,0,5959
85000,500,0,4.25e-05,0,0,0,0,5959
86000,500,0,4.3e-05,0,0,0,0,5959
87000,500,0,4.35e-05,0,0,0,0,5959
88000,500,0,4.4e-05,0,0,0,0,5959
89000,500,0,4.45e-05,0,0,0,0,5959
90000,500,0,4.5e-05,0,0,0,0,5959
91000,500,0,4.55e-05,0,0,0,0,5959
92000,500,0,4.6e-05,0,0,0,0,5959
93000,500,0,4.65e-05,0,0,0,0,5959
94000,500,0,4.7e-05,0,0,0,0,5959
95000,500,0,4.75e-05,0,0,0,0,5959
96000,500,0,4.8e-05,0,0,0,0,5959
97000,500,0,4.85e-05,0,0,0,0,5959
98000,500,0,4.9e-05,0,0,0,0,5959
99000,500,0,4.95e-05,0,0,0,0,5959
100000,500,0,5e-05,0,0,0,0,5959
101000,500,0,5.05e-05,0,0,0,0,5959
102000,500,0,5.1e-05,0,0,0,0,5959
103000,500,0,5.15e-05,0,0,0,0,5959
104000,500,0,5.2e-05,0,0,0,0,5959
105000,500,0,5.25e-05,0,0,0,0,5959
106000,500,0,5.3e-05,0,0,0,0,5959
107000,500,0,5.35e-05,0,0,0,0,5959
108000,500,0,5.4e-05,0,0,0,0,5959
109000,500,0,5.45e-05,0,0,0,0,5959
110000,500,0,5.5e-05,0,0,0,0,5959
111000,500,0,5.55e-05,0,0,0,0,5959
112000,500,0,5.6e-05,0,0,0,0,5959
113000,500,0,5.65e-05,0,0,0,0,5959
114000,500,0,5.7e-05,0,0,0,0,5959
115000,500,0,5.75e-05,0,0,0,0,5959
116000,500,0,5.8e-05,0,0,0,0,5959
117000,500,0,5.85e-05,0,0,0,0,5959
118000,500,0,5.9e-05,0,0,0,0,5959
119000,500,0,5.95e-05,0,0,0,0,5959
120000,500,0,6e-05,0,0,0,0,5959
121000,500,0,6.05e-05,0,0,0,0,5959
122000,500,0,6.1e-05,0,0,0,0,5959
123000,500,0,6.15e-05,0,0,0,0,5959
124000,500,0,6.2e-05,0,0,0,0,5959
125000,500,0,6.25e-05,0,0,0,0,5959
126000,500,0,6.3e-05,0,0,0,0,5959
127000,500,0,6.35e-05,0,0,0,0,5959
128000,500,0,6.4e-05,0,0,0,0,5959
129000,500,0,6.45e-05,0,0,0,0,5959
130000,500,0,6.5e-05,0,0,0,0,5959
131000,500,0,6.55e-05,0,0,0,0,5959
132000,500,0,6.6e-05,0,0,0,0,5959
133000,500,0,6.65e-05,0,0,0,0,5959
134000,500,0,6.7e-05,0,0,0,0,5959
135000,500,0,6.75e-05,0,0,0,0,5959
136000,500,0,6.8e-05,0,0,0,0,5959
137000,500,0,6.85e-05,0,0,0,0,5959
138000,500,0,6.9e-05,0,0,0,0,5959
139000,500,0,6.95e-05,0,0,0,0,5959
140000,500,0,7e-05,0,0,0,0,5959
141000,500,0,7.05e-05,0,0,0,0,5959
142000,500,0,7.1e-05,0,0,0,0,5959
143000,500,0,7.15e-05,0,0,0,0,5959
144000,500,0,7.2e-05,0,0,0,0,5959
145000,500,0,7.25e-05,0,0,0,0,5959
146000,500,0,7.3e-05,0,0,0,0,5959
147000,500,0,7.35e-05,0,0,0,0,5959
148000,500,0,7.4e-05,0,0,0,0,5959
149000,500,0,7.45e-05,0,0,0,0,5959
150000,500,0,7.5e-05,0,0,0,0,5959
151000,500,0,7.55e-05,0,0,0,0,5959
152000,500,0,7.6e-05,0,0,0,0,5959
153000,500,0,7.65e-05,0,0,0,0,5959
154000,500,0,7.7e-05,0,0,0,0,5959
155000,500,0,7.75e-05,0,0,0,0,5959
156000,500,0,7.8e-05,0,0,0,0,5959
157000,500,0,7.85e-05,0,0,0,0,5959
158000,500,0,7.9e-05,0,0,0,0,5959
159000,500,0,7.95e-05,0,0,0,0,5959
160000,500,0,8e-05,0,0,0,0,5959
161000,500,0,8.05e-05,0,0,0,0,5959
162000,500,0,8.1e-05,0,0,0,0,5959
163000,500,0,8.15e-05,0,0,0,0,5959
164000,500,0,8.2e-05,0,0,0,0,5959
165000,500,0,8.25e-05,0,0,0,0,5959
166000,500,0,8.3e-05,0,0,0,0,5959
167000,500,0,8.35e-05,0,0,0,0,5959
168000,500,0,8.4e-05,0,0,0,0,5959
169000,500,0,8.45e-05,0,0,0,0,5959
170000,500,0,8.5e-05,0,0,0,0,5959
171000,500,0,8.55e-05,0,0,0,0,5959
172000,500,0,8.6e-05,0,0,0,0,5959
173000,500,0,8.65e-05,0,0,0,0,5959
174000,500,0,8.7e-05,0,0,0,0,5959
175000,500,0,8.75e-05,0,0,0,0,5959
176000,500,0,8.8e-05,0,0,0,0,5959
177000,500,0,8.85e-05,0,0,0,0,5959
178000,500,0,8.9e-05,0,0,0,0,5959
179000,500,0,8.95e-05,0,0,0,0,5959
180000,500,0,9e-05,0,0,0,0,5959
181000,500,0,9.05e-05,0,0,0,0,5959
182000,500,0,9.1e-05,0,0,0,0,5959
183000,500,0,9.15e-05,0,0,0,0,5959
184000,500,0,9.2e-05,0,0,0,0,5959
185000,500,0,9.25e-05,0,0,0,0,5959
186000,500,0,9.3e-05,0,0,0,0,5959
187000,500,0,9.35e-05,0,0,0,0,5959
188000,500,0,9.4e-05,0,0,0,0,5959
189000,500,0,9.45e-05,0,0,0,0,5959
